date,prices,headlines,y
2007-03-07,"[16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06]","[ 0.02038407  0.03137925  0.03149237 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-03-08,"[16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-03-09,"[16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-03-12,"[16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0]","[ 0.08136239  0.17474301 -0.03916562 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-03-13,"[16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55]","[-0.01057415  0.00528063  0.00232116 ... -0.13733062 -0.03002818
  0.05240111]",0
2007-03-14,"[16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09507746 -0.07287636
 -0.02034647]",1
2007-03-15,"[16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87]","[ 0.06054628  0.05476896 -0.04594122 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-03-16,"[16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-03-19,"[16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-03-20,"[16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18, 16170.22]","[ 0.06147951 -0.00487562 -0.02325295 ... -0.00424762 -0.02280482
  0.09565356]",1
2007-03-21,"[16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18, 16170.22, 16026.75]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-03-22,"[16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18, 16170.22, 16026.75, 16173.24]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.0022564  -0.15363116
  0.01695976]",1
2007-03-23,"[16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18, 16170.22, 16026.75, 16173.24, 16262.56]","[ 0.06050532  0.05463506 -0.04599144 ... -0.00424762 -0.02280482
  0.09565356]",1
2007-03-26,"[16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23, 16323.06, 16457.66, 16532.61, 16573.0, 16572.55, 16412.71, 16245.87, 16256.14, 16437.18, 16170.22, 16026.75, 16173.24, 16262.56, 16424.85]","[-0.01057415  0.00528063  0.00232116 ... -0.13733062 -0.03002818
  0.05240111]",0
